,Date,Underlying,C250,C255,C260,C265,C270,C275,C280,C285,C290,C295,C300,C305,C310,C315,C320,C325,C330,C335,C340,C345,C350,C355,C360,C365,C370,C375,C380,C385,C390,C395,C400,C405,C410,C415,C420,C425,C430,C435,C440,C445,P250,P255,P260,P265,P270,P275,P280,P285,P290,P295,P300,P305,P310,P315,P320,P325,P330,P335,P340,P345,P350,P355,P360,P365,P370,P375,P380,P385,P390,P395,P400,P405,P410,P415,P420,P425,P430,P435,P440,P445
0,2023-08-21,321.88,77.91,,67.65,,55.0,54.39,49.6,,41.86,38.0,33.85,31.08,26.9,23.88,20.45,17.9,15.7,13.03,11.22,9.32,7.95,6.5,5.44,4.59,3.78,3.11,2.58,2.14,1.75,1.47,1.21,1.01,0.88,0.73,0.59,0.52,,0.38,0.33,,1.41,1.66,1.95,2.34,2.75,3.35,3.95,4.65,5.6,6.55,7.85,9.1,10.66,12.66,14.54,16.8,19.15,21.95,25.41,28.3,32.16,35.99,40.01,44.2,48.64,52.96,58.05,,,,77.97,,,,,,,,,
1,2023-08-22,322.46,77.6,,69.55,,,54.27,,,41.52,38.54,34.64,,28.45,24.3,20.5,17.89,15.24,12.99,11.33,9.92,7.95,6.9,5.48,4.65,3.85,3.33,2.7,2.36,1.91,1.48,1.21,1.07,0.94,,0.67,0.6,0.48,,,,1.42,,1.94,2.35,2.87,3.25,3.89,4.9,5.7,6.35,7.95,9.02,10.75,12.15,14.6,16.45,19.58,21.22,24.81,27.7,,34.9,39.02,43.66,46.19,51.78,56.5,60.2,66.34,72.05,,,,,,,,,,
2,2023-08-23,327.0,,,73.2,,,59.0,54.3,,47.0,,37.32,33.5,30.5,28.26,23.25,20.65,17.65,15.2,13.05,10.97,9.41,8,6.45,5.37,4.59,3.79,3.12,2.6,2.18,2.05,1.53,1.28,1.08,0.94,0.78,0.73,0.64,0.55,,0.37,1.21,1.37,1.63,1.95,2.27,2.75,3.24,3.85,4.57,5.5,6.45,7.7,9.06,10.45,12.33,14.24,16.95,19.0,22.15,25.2,28.0,,,39.8,43.91,,54.01,,,,71.0,,,,,,,,,
3,2023-08-24,319.97,,,66.2,,57.77,60.6,50.0,44.62,40.95,37.6,32.92,28.83,25.5,22.74,19.65,17.16,14.7,12.61,10.35,8.75,7.35,6.2,5.1,4.35,3.49,2.9,2.37,1.98,1.65,1.54,1.15,0.97,0.91,0.71,0.68,,0.48,,0.33,,1.54,1.71,2.15,,2.95,3.65,4.4,5.07,6.05,6.79,8.4,9.71,11.1,13.0,15.3,17.8,20.0,22.9,25.15,28.0,29.1,35.6,39.8,,49.55,53.5,,,,,,,,,,,,,,
4,2023-08-25,322.98,,73.85,64.93,62.29,,,50.3,43.8,42.43,35.4,33.8,30.25,26.35,23.6,20.45,17.6,14.8,12.53,10.81,9.19,7.4,6.05,5.05,4.2,3.45,2.82,2.37,2.17,1.65,1.33,1.14,0.97,0.83,,,,0.44,0.38,,0.3,1.35,1.81,1.72,2.2,2.4,2.87,3.57,4.1,4.97,5.82,7.1,8.37,9.72,11.75,13.56,15.7,18.12,21.05,23.95,28.44,32.67,38.05,40.05,42.24,50.03,51.19,57.07,,,71.02,,,,94.03,,,,,,
5,2023-08-28,323.7,,72.9,,,,54.05,50.0,46.0,,36.43,32.85,30.06,26.8,22.8,20.6,17.25,14.75,12.75,10.45,8.56,7.2,5.91,4.9,3.9,3.24,2.58,2.19,1.81,1.5,1.21,1.02,0.88,0.72,0.64,0.52,0.44,0.42,,,,1.16,1.43,1.67,2.06,2.39,2.9,3.35,3.95,4.95,5.8,6.73,8.01,9.67,11.4,13.05,15.25,17.61,20.95,23.5,,30.78,34.56,,43.1,46.8,51.6,56.72,,67.8,72.35,77.59,,,,,,107.24,,,
6,2023-08-29,328.41,,,,,,58.15,53.5,49.1,45.28,,37.5,,30.25,25.83,22.65,19.65,17.15,14.33,12.25,10.35,8.58,7.17,5.85,4.78,3.93,3.3,2.63,2.16,1.82,1.46,1.26,1.06,,0.76,0.65,0.55,0.47,,,,0.87,1.1,1.28,1.57,1.83,2.24,2.68,3.26,3.85,4.8,5.6,6.9,8.0,9.49,11.15,13.1,15.41,17.89,21.05,24.0,26.65,31.55,35.0,,,,52.6,,,,72.25,,,,,,,,,
7,2023-08-30,328.79,,,,,,,,49.57,45.55,41.4,37.3,,29.95,26.28,22.9,19.95,17.08,14.36,12.15,10.1,8.44,6.8,5.6,4.67,3.7,3.11,2.55,2.09,1.68,1.37,1.18,0.97,0.87,0.68,0.6,,,0.36,,,0.78,0.94,1.21,1.36,1.65,2.03,2.47,2.93,3.55,4.3,5.2,6.25,7.5,9.07,10.75,12.55,14.65,17.15,20.55,22.9,26.2,31.2,33.63,,42.69,46.24,51.4,56.25,,,71.15,,,,,,,,,116.83
8,2023-08-31,327.76,,,,,,,53.3,,45.05,41.18,36.56,32.4,29.0,25.95,22.12,19.08,16.4,13.75,11.55,9.6,7.9,6.5,5.25,4.25,3.4,2.81,2.27,1.91,1.56,1.34,1.04,,,0.66,0.61,0.48,,,,,0.79,0.93,1.18,1.41,1.65,1.99,2.42,2.91,3.6,4.3,5.19,6.24,7.51,9.15,10.7,12.55,14.85,17.0,20.2,22.7,26.35,29.4,,,,,52.15,56.51,,,,,,,,,,,,
9,2023-09-01,328.66,,,,69.11,63.0,,,,44.54,40.37,36.2,33.27,27.85,25,21.95,19.1,16.29,13.74,10.9,9.3,7.64,6.3,5.06,4.1,3.35,2.69,2.2,1.83,1.47,1.22,1.01,0.91,0.72,,0.56,0.47,0.41,,,,0.72,0.88,1.1,1.35,1.57,1.93,2.3,2.8,3.35,4.05,4.92,6.1,7.3,8.8,10.6,12.45,14.55,17.2,19.93,23.6,26.3,29.95,34.85,38.19,42.78,47.86,52.23,57.0,62.2,,71.67,,,,,,,,,
