,Date,Underlying,C220,C225,C230,C235,C240,C245,C250,C255,C260,C265,C270,C275,C280,C285,C290,C295,C300,C305,C310,C315,C320,C325,C330,C335,C340,C345,P220,P225,P230,P235,P240,P245,P250,P255,P260,P265,P270,P275,P280,P285,P290,P295,P300,P305,P310,P315,P320,P325,P330,P335,P340,P345
0,2023-01-23,242.58,29.27,25.74,22.3,18.6,15.72,12.87,10.5,8.15,6.35,4.9,3.69,2.74,2.03,1.45,1.03,0.78,0.55,,0.32,0.25,0.18,0.14,0.1,,0.06,0.03,5.1,6.2,7.8,9.3,11.12,13.4,16.15,17.85,20.85,24.53,30.0,,36.75,42.0,45.97,50.77,58.0,,,,,,,,,
1,2023-01-24,242.04,28.9,25.2,21.1,18.2,15.3,12.55,10.1,8.03,6.2,4.77,3.45,2.58,1.99,1.44,1.06,0.81,0.55,0.41,0.32,0.22,0.18,0.13,0.11,0.09,,0.05,5.04,6.41,7.61,9.55,11.3,13.7,16.75,19.05,21.71,25.9,31.2,34.01,39.12,42.9,48.63,,57.42,,,,,,,,,
2,2023-01-25,240.61,25.75,23.13,19.1,15.74,12.9,10.22,7.85,6,4.25,3.47,2.21,1.6,1.14,0.94,0.65,0.44,0.3,0.19,0.18,0.12,0.09,0.08,0.03,0.03,0.02,0.03,4.35,5.48,7.1,8.09,10.55,13.0,15.95,18.8,29.04,32.15,37.63,42.35,39.25,44.04,56.61,61.4,,,,,,,,,,
3,2023-01-26,248.0,32.5,27.96,24.3,21.0,17.7,14.55,11.9,9.38,7.27,5.5,4.05,2.95,2.08,1.5,0.98,0.65,0.54,0.35,0.28,0.19,0.14,0.09,,0.05,,,3.23,4.05,5.25,6.4,8.0,9.9,11.95,14.6,18.87,22.57,,29.3,34.1,40.5,44.95,,,,,,,,,,,
4,2023-01-27,248.16,34.07,28.75,25.3,21.5,17.57,14.42,11.55,9.15,7.7,5.35,3.85,2.84,2.01,1.44,1.1,0.71,0.53,0.43,0.31,,0.15,0.11,0.08,,,,3.1,3.89,5.0,5.85,7.2,8.95,11.7,13.45,17.3,20.36,,28.5,33.38,38.9,,,,,,,72.46,,,,,
5,2023-01-30,242.71,28.5,25.1,21.1,17.6,14.6,11.6,8.95,6.9,5.15,4,2.88,2.11,1.45,1.04,0.71,0.54,0.38,0.28,0.22,,0.11,0.09,0.06,0.05,,0.03,4.21,5.15,6.35,7.85,9.95,11.85,14.8,17.26,21.2,,,31.5,,,,,55.49,,,,,,,,,
6,2023-01-31,247.81,29.4,28.0,23.71,19.9,16.9,14,11.15,8.42,6.6,4.9,3.63,2.6,1.87,1.31,0.9,0.69,0.49,0.35,,0.2,0.12,,,0.04,,,3.25,4.1,5.0,6.25,7.7,9.65,12.01,14.7,18.1,22.7,,30.5,,,,,,,,,,,,,,
7,2023-02-01,252.75,37.5,,29.0,26.0,20.36,17,14,10.97,8.31,6.45,4.71,3.45,2.5,1.8,1.29,1.01,0.7,0.49,0.44,0.25,0.21,0.13,0.12,,,,2.39,3.08,3.8,4.45,5.97,6.97,9.31,11.5,13.0,,19.55,25.0,27.35,32.88,,,,,,,,,,,,
8,2023-02-02,264.6,45.34,43.11,36.24,32.35,28.87,25.14,21.22,17.97,15.55,12.5,10,8,6.25,4.65,3.6,2.64,1.95,1.32,1.1,0.95,0.56,0.45,0.33,0.25,0.2,0.11,1.55,2.13,2.47,3.25,4.0,4.91,6.0,7.95,9.6,11.5,15.37,19.0,21.4,,,,,,,,59.05,,,,,
9,2023-02-03,258.35,39.65,37.34,32.77,29.06,25.3,21.5,18.09,15.12,12.37,9.95,7.7,6.09,4.6,3.4,2.54,1.9,1.35,1.06,0.73,0.56,0.44,0.38,0.25,0.23,0.21,0.13,2.15,2.78,3.37,4.15,5.45,6.55,8.0,9.85,12.15,14.45,15.6,19.15,21.38,,,,38.0,,,,,,,,,
10,2023-02-06,256.77,39.65,37.2,30.74,27.9,24,20.45,17.04,13.9,11.35,8.88,7,5.4,4.02,3,2.24,1.67,1.25,0.91,0.72,0.53,0.37,0.28,0.21,0.15,,,2.27,2.82,3.57,4.5,5.6,6.9,8.65,10.5,12.85,15.7,,22.0,,30.05,,,,,,,,,,,,
11,2023-02-07,267.56,49.55,,41.0,36.74,32.85,28.81,24.89,21.33,17.8,14.88,12.2,9.71,7.7,6,4.55,3.49,2.64,2.0,1.56,1.13,0.9,0.68,0.55,0.42,0.32,0.27,1.34,1.75,2.21,2.74,3.49,4.28,5.45,6.7,8.4,10.2,12.49,15.11,19.1,26.28,29.9,,36.15,39.0,47.95,,,,,,,
12,2023-02-08,266.73,50.0,50.72,43.55,38.55,32.5,28.9,25,21.55,18.32,14.9,12.32,9.95,8,6.3,5.15,4.0,2.94,2.39,1.75,1.42,1.1,0.85,0.67,0.57,0.42,0.36,1.62,2.02,2.66,3.2,4.03,5.04,6.05,7.75,9.55,11.45,13.95,16.55,19.55,23.0,25.25,,32.78,39.3,,,,,,,,
13,2023-02-09,263.62,,42.53,,34.93,30.4,28.95,22.34,19.04,16.55,13.6,11.1,9.2,7.2,5.64,4.5,3.4,2.65,2.0,1.58,1.21,0.95,0.75,0.6,0.59,0.5,0.32,2.02,2.65,3.3,4.0,5.0,6.38,7.45,9.15,10.73,13.13,15.75,19.11,21.95,20.05,23.4,32.3,36.0,41.4,41.8,,,55.0,,,,
