,Date,Underlying,C300,C305,C310,C315,C320,C325,C330,C335,C340,C345,C350,C355,C360,C365,C370,C375,C380,C385,C390,C395,P300,P305,P310,P315,P320,P325,P330,P335,P340,P345,P350,P355,P360,P365,P370,P375,P380,P385,P390,P395
0,2023-05-22,321.18,31.55,27.55,23.92,20.49,17.65,14.75,12.16,9.75,7.89,6.15,4.8,3.6,2.85,2.12,1.6,1.2,0.97,0.74,0.55,,6.97,8.0,9.46,11.13,12.78,14.92,17.2,20.25,23.25,,30.9,,39.25,,,,,,,
1,2023-05-23,315.26,27.95,25.05,20.5,17.45,14.7,12.05,9.82,7.8,6.25,5.0,3.77,2.98,2.27,1.72,1.28,0.96,0.76,0.56,0.47,0.36,8.3,9.9,11.2,13.4,15.3,17.7,19.95,23.05,27,,,38.36,43.6,43.62,,,,,,
2,2023-05-24,313.85,26.58,23.3,19.68,17.1,14.05,11.64,9.7,7.78,6.35,4.71,3.68,2.8,2.26,1.71,1.33,0.96,0.68,0.55,0.42,,9.22,10.45,12.45,14.5,16.95,19.41,21.7,25.9,28.85,,,,,,,,,,,
3,2023-05-25,325.92,35.92,32.3,28.8,25.35,21.75,18.7,16.05,13.43,11.17,9.2,7.58,6.07,4.95,3.95,3.14,2.55,2.02,1.61,1.13,1.02,6.65,7.67,9.23,10.5,12.25,14.15,16.4,19.1,21.9,25.95,28.2,34.4,35.34,,,,,,,
4,2023-05-26,332.89,41.67,37.61,33.74,30.2,26.71,23.15,19.95,17.24,14.68,12.45,10.25,8.7,7.05,5.68,4.7,3.65,3.0,2.53,2.1,1.73,5.65,6.4,7.5,8.7,10.08,11.7,13.65,15.61,18.09,20.92,23.75,,,,,44.42,,,,
5,2023-05-30,331.21,39.55,36.47,31.5,27.75,24.3,21.3,18.07,15.54,13.25,10.9,8.95,7.15,6.15,4.79,3.85,3.2,2.57,2.25,1.7,1.49,5.3,6.03,7.22,8.46,10,11.1,13.75,15.34,18.6,20.45,23.5,,31.1,35.81,,,,,,
6,2023-05-31,328.39,38.12,34.5,30.9,27.41,23.86,19.9,16.8,14.0,12.65,10.0,8.2,6.99,5.62,4.57,3.5,2.73,2.23,1.82,1.48,1.27,5.55,6.42,7.4,9.05,10.35,12.3,13.9,16.15,18.8,21.65,24.58,28.0,32.65,,,,,,,
7,2023-06-01,332.58,40.06,36.05,32,28,24.8,21.38,18.37,15.47,12.92,10.5,8.64,6.8,5.76,4.49,3.7,2.75,2.28,1.81,1.56,1.24,4.7,5.55,6.68,7.93,9.1,10.6,13.1,14.9,17.04,19.97,23.0,,,35.9,41.33,,,54.45,,
8,2023-06-02,335.4,42.41,38.05,33.65,30.21,26.8,22.98,19.55,16.75,14.0,11.65,9.42,7.81,6.16,4.98,3.93,3.04,2.45,1.81,1.65,1.28,3.8,4.57,5.45,6.51,7.8,9.27,10.95,13.05,15.1,18.64,21.38,24.84,28.41,32.48,,,,,55.45,
9,2023-06-05,335.94,43.5,39.56,34,31.36,27.6,23.7,19.95,16.7,14.3,11.4,9.22,7.76,6.5,5.04,3.66,2.86,2.25,1.85,1.5,1.24,3.5,4.1,4.92,5.91,7.1,8.52,10.43,12,14.5,16.8,19.5,23.2,26.05,30.25,34.17,,,,,
10,2023-06-06,333.68,40.94,36,31.98,27.7,24.65,21.05,17.8,14.71,12.2,10.0,7.95,6.09,4.9,3.85,2.99,2.33,1.82,1.41,1.15,0.89,3.62,4.25,5.15,6.25,7.55,9,10.8,12.79,15.45,17.95,21.3,25.2,28.1,32.6,,41.09,,,,
11,2023-06-07,323.38,32.11,27.9,23.79,21.01,17.42,14.5,11.9,9.64,7.7,6.1,4.7,3.75,2.8,2.1,1.75,1.33,1.07,0.85,0.69,0.59,5.25,6.35,7.6,9.14,10.91,13.05,15.5,18.1,21.7,24.4,28.7,,36.32,,47.0,,,,,
12,2023-06-08,325.26,32.75,29.15,24.91,21.65,18.25,15.15,12.4,10.0,8.2,6.35,5.0,3.95,3.06,2.3,1.8,1.4,1.12,0.9,0.71,0.62,4.7,5.75,6.95,8.34,9.95,12.05,14.3,16.96,19.65,,,,,,44.27,50.0,54.83,,,
13,2023-06-09,326.79,34.41,30.25,26.35,23.08,19.1,15.88,13.1,11.15,8.55,7.15,5.42,4.4,3.3,2.49,2.16,1.63,1.29,1.03,0.8,0.67,4.45,5.3,6.62,7.59,9.53,11.55,13.7,15.55,18.75,21.4,,,34.5,,42.8,,,,,
14,2023-06-12,331.85,37.81,33.79,29.5,25.42,23.05,19.1,16.0,13.15,10.71,8.6,6.95,5.45,4.2,3.3,2.55,1.92,1.57,1.23,1.01,0.83,3.7,4.45,5.4,6.58,7.85,9.69,11.47,13.6,16.55,23.16,,,,34.25,41.67,,,,,
15,2023-06-13,334.29,39.65,35.85,30.45,27.76,23.6,20.2,17.5,14.6,12.05,9.75,7.9,6.25,4.8,3.8,3.05,2.32,1.82,1.46,1.14,0.91,3.4,4.02,4.89,6.1,7.2,8.74,10.55,13,15.14,17.75,21.17,,28.96,,,,,,,
16,2023-06-14,337.34,41.73,37.65,34.5,29.43,26.76,22.37,18.45,15.6,13.15,11.03,8.5,7.2,5.75,4.49,3.6,2.88,2.15,1.76,1.45,1.14,3.17,3.78,4.58,5.71,6.62,8.45,10,11.95,13.9,16.62,19.6,25.53,26.75,,36.98,,,,,
17,2023-06-15,348.1,52.95,48.55,43.71,39.35,35.12,31.37,27.85,24.3,20.7,17.8,15.1,12.8,10.45,9.1,7.3,5.92,4.89,3.94,3.2,2.79,2.48,2.79,3.45,4.22,5.05,6,7.11,8.5,10.45,12.05,14.55,16.3,19.29,22.25,28.65,31.05,,40.5,,
18,2023-06-16,342.33,47.7,44.75,38.75,34.5,30.75,27.15,23.05,20.05,16.9,14.05,11.8,9.85,8.03,6.4,5.3,4.19,3.3,2.85,2.41,1.99,2.68,3.2,3.87,4.55,5.6,6.95,8.3,9.95,12.06,14.4,16.3,18.29,22.2,25.2,29.55,32.7,,41.75,46.59,
19,2023-06-20,338.05,43.8,38.84,34.71,31.31,27.03,23.5,19.74,16.85,14.35,11.95,9.65,8.0,6.2,5.05,4.0,3.25,2.55,2.06,1.79,1.39,2.85,3.5,4.3,5.1,6.4,7.75,9.05,11.25,13.4,15.95,18.9,22.01,25.45,31.0,33.25,,,,,
20,2023-06-21,333.56,39.7,35.94,31.2,27.22,23.26,20.2,17.43,14.0,11.78,9.7,7.6,6.3,4.9,4.0,3.1,2.44,1.98,1.65,1.34,1.07,3.45,4.11,5.1,6.15,7.57,9.1,10.8,13.1,15.9,18.4,21.43,24.77,30.1,32.99,37.4,,,,,
21,2023-06-22,339.71,44.55,39.25,35.64,30.9,27.85,24.11,20.5,17.5,14.59,12.1,9.88,7.95,6.45,5.17,4.09,3.27,2.62,2.07,1.7,1.3,2.63,3.19,3.9,4.71,5.75,7.12,8.65,10.5,12.67,15.6,18.1,21.4,26.25,28.85,34.0,,,,,
22,2023-06-23,335.02,41.01,37.76,34.1,28.17,23.89,20.9,17.5,14.6,12.1,9.95,8.0,6.4,5.0,4.05,3.12,2.5,2.0,1.61,1.31,1.03,3.15,3.55,4.67,5.75,7,8.54,10.25,12.5,14.25,17.6,20.7,24.15,27.85,32.04,35.16,39.2,46.0,,,
23,2023-06-26,328.6,34.62,31.99,27.2,23.7,19.65,16.45,13.6,11.2,9.07,7.15,5.8,4.5,3.5,2.76,2.21,1.77,1.39,1.1,0.93,0.72,3.95,4.8,5.8,7.22,8.85,10.65,12.63,15.12,18.31,20.5,23.8,28.8,31.5,36.2,,46.4,,,,
24,2023-06-27,334.57,40.45,36.06,31.9,27.9,23.8,20.3,17.1,14.0,11.43,9.3,7.45,5.82,4.59,3.6,2.76,2.19,1.69,1.41,1.1,0.85,3.05,3.6,4.6,5.65,6.9,8.46,10.27,12.4,14.81,17.66,20.35,23.57,29.38,31.56,38.8,,,,,
25,2023-06-28,335.85,39.86,35.85,31.55,27,23.2,20.02,16.91,14.4,12.0,9.45,7.45,5.9,4.79,3.73,2.85,2.23,1.69,1.32,1.06,0.86,2.91,3.47,4.36,5.36,6.89,8.09,9.96,12.18,15,17.8,20.55,24.35,27.64,,33.73,40.35,,,,
26,2023-06-29,335.05,39.2,35.75,30.95,26.7,22.75,19.45,16.35,13.9,11.15,9.05,7.25,5.65,4.45,3.45,2.6,2.03,1.57,1.24,0.99,0.78,2.84,3.57,4.34,5.34,6.4,8,10,12.2,14.7,17.66,21.35,,,,36.27,,,50.86,,
27,2023-06-30,340.54,44.72,40.3,35.6,31.55,27.85,24.1,20.21,17.1,13.95,11.4,9.27,7.31,5.74,4.4,3.45,2.77,2.07,1.63,1.26,1.02,2.11,2.62,3.22,4.0,4.99,6.2,7.68,9.42,11.51,13.99,16.63,20.0,23.1,26.2,,,,44.4,49.66,
28,2023-07-03,337.99,41.34,37.26,32.63,28.62,25.3,21.6,18.07,15.0,12.3,9.91,7.85,6.05,4.7,3.75,2.83,2.19,1.63,1.3,1.0,0.77,2.27,2.88,3.5,4.22,5.4,6.71,8.3,10.2,12.75,15.44,18.38,21.73,25.8,29.4,,,,,,
29,2023-07-05,338.15,41.96,37.4,34.19,28.95,25.3,21.4,18.09,14.83,12.45,9.81,8.0,6.19,4.87,3.72,2.84,2.21,1.7,1.34,1.06,0.84,2.07,2.6,3.25,4.12,5.15,6.5,8.25,10.1,12.27,15.1,18.32,21.5,25.05,29.45,,37.75,41.33,45.97,50.04,
30,2023-07-06,341.27,44.65,40.67,35.4,31.47,27.48,24.2,20.55,17.1,14.29,11.7,9.45,7.68,6.06,4.75,3.59,2.84,2.25,1.72,1.32,1.07,2.05,2.49,3.16,3.89,4.9,6.23,7.8,9.4,11.46,14.02,16.7,19.95,23.14,29.45,30.4,35.3,38.45,43.85,49.75,54.2
