,Date,Underlying,C220,C225,C230,C235,C240,C245,C250,C255,C260,C265,C270,C275,C280,C285,C290,C295,C300,C305,C310,C315,C320,C325,C330,C335,C340,C345,P220,P225,P230,P235,P240,P245,P250,P255,P260,P265,P270,P275,P280,P285,P290,P295,P300,P305,P310,P315,P320,P325,P330,P335,P340,P345
0,2022-11-21,242.05,31.0,27.45,23.93,20.43,17.65,14.75,12.35,10.1,8.09,6.52,5.0,4.0,2.99,2.38,1.88,1.42,1.12,0.93,0.7,0.58,0.52,,0.34,0.27,,,6.55,7.7,9.15,10.85,12.89,14.95,17.8,20.7,23.6,,29.6,,39.55,,47.5,53.15,57.05,,,,,,,,,
1,2022-11-22,245.03,,29.3,25.2,21.35,18.6,15.7,12.98,10.85,8.75,6.56,5.45,4.15,3.24,2.46,1.89,1.46,1.12,0.86,0.68,0.53,,,0.29,,,,5.7,7.0,8.25,9.9,11.8,13.7,15.9,18.75,,,31.05,35.55,37.95,,,,57.2,,64.7,,,,88.17,,,
2,2022-11-23,247.58,33.0,,27.41,23.61,20.04,16.95,14.19,12.04,9.8,7.6,5.99,4.75,3.5,2.87,2.16,1.67,1.28,1.0,0.77,,,0.37,0.32,,0.21,,5.05,6.05,7.25,8.75,10.49,12.28,14.45,17.0,19.76,23.97,28.68,30.16,35.2,39.8,43.01,,52.97,,,,,,,,,
3,2022-11-25,247.49,,30.8,27.19,23.81,20.51,17,14.25,11.75,9.65,7.75,5.99,4.8,3.69,2.73,2.06,1.68,1.28,,0.76,,0.49,,,,0.21,,5.0,6.0,7.26,8.75,10.35,12.15,14.4,17.1,19.6,,,28.6,,,,,,,,,72.2,,,,,
4,2022-11-28,241.76,31.87,26.73,22.75,19.32,16.54,13.86,11.35,9.2,7.55,5.85,4.55,3.65,2.72,2.06,1.55,1.18,0.89,0.72,0.58,0.45,0.42,0.28,,0.21,,,6.45,7.7,9.25,11.07,13.05,15.32,18.15,20.12,23.95,,31.17,35.15,38.0,,,54.16,53.81,,,,,,,,,
5,2022-11-29,240.33,28.9,25.2,23.4,18.75,15.4,13.3,10.92,8.65,6.89,5.35,4.3,3.25,2.46,1.87,1.46,1.11,0.85,0.64,0.5,,,0.24,,,0.14,0.13,6.65,8.05,9.9,11.33,13.5,15.73,18.55,20.02,24.67,,,,,,,,,,70.55,,,,,,,
6,2022-11-30,255.14,39.28,33.45,31.13,28.05,24.7,21.2,18.14,15.25,12.57,10.19,8.2,6.55,5.0,3.8,2.9,1.88,1.68,1.25,0.93,0.62,0.46,0.37,0.29,,0.2,,3.85,4.85,5.85,7.05,8.2,9.79,11.51,13.55,15.98,18.5,24.75,32.57,34.2,,,46.89,50.65,,58.25,60.62,,,,,,
7,2022-12-01,254.69,40.48,36.05,32.95,28.86,25.58,22.2,18.5,15.55,13.19,10.8,8.35,6.92,5.5,4.1,3.1,2.49,1.85,1.48,1.08,0.78,0.67,,,0.31,0.22,,3.8,4.53,5.44,6.55,7.83,9.6,11.18,13.6,15.45,18.1,21.05,25.3,28.07,,36.82,,45.87,,,60.87,67.8,,76.7,,,
8,2022-12-02,255.02,40.61,35.98,32.6,27.42,24.25,20.89,18.05,14.86,12.15,9.98,7.95,6.25,4.85,3.68,2.85,2.29,1.59,1.24,0.89,0.74,0.5,0.42,0.31,,,,3.58,4.5,5.25,6.54,7.6,9.31,11.15,13.1,15.38,18.6,23.94,,29.49,,,,45.47,,,,,,,,,
9,2022-12-05,250.2,35.7,32.8,27.6,24.4,20.2,18,15.43,12.52,10.5,7.95,6.69,5.22,4.0,2.89,2.4,1.6,1.24,0.91,0.69,0.65,0.43,0.34,0.29,0.21,0.16,,4.59,5.71,6.5,7.8,9.46,11.3,13.58,15.85,18.63,21.9,,,32.51,,,,50.0,,,,,,,,,
10,2022-12-06,245.12,32.54,30.0,24.57,21.05,18.6,15.6,13.05,10.4,8.4,6.9,5.36,4.2,3.0,2.27,1.79,1.36,1.04,0.8,0.62,0.46,,0.29,0.23,0.2,0.14,,5.3,6.54,8.31,9.75,11.4,13.25,15.9,18.45,20.95,23.66,,31.0,36.07,,,,,,,,,,,,,
11,2022-12-07,244.37,31.25,28.56,24.75,21.25,18,15.08,12.5,10.25,8.35,6.6,5.2,4.0,3.1,2.33,1.75,,1.07,0.84,,,0.38,,0.22,,0.12,,5.55,6.73,8.15,9.75,11.6,13.65,16.31,19.02,22.5,26.05,28.67,,,,46.09,,,,,,,,,,,
12,2022-12-08,247.4,33.65,29.08,26.5,22.6,19.45,16.6,13.61,11.3,9.15,7.15,5.6,4.35,3.45,2.54,1.86,1.4,1.1,,0.65,0.47,0.39,,0.21,0.16,0.13,,5.09,6.13,7.3,8.86,10.6,12.6,14.9,17.1,20.21,23.61,27.04,,,,,,,,,,,,,,,
13,2022-12-09,245.42,33.45,29.6,26.3,,18.19,15.2,12.65,10.25,8.95,6.75,4.95,3.82,3.15,2.23,1.79,1.24,0.96,0.77,0.57,0.46,,,0.21,0.16,,,5.26,6.44,7.2,8.85,10.3,13.0,15.55,18.1,20.7,,,,35.4,,,,,,,,,,,,,
14,2022-12-12,252.51,35.5,33.15,28,25.0,23,18.95,16.65,13.85,11.4,9.0,7.2,5.71,4.5,3.2,2.5,1.93,1.3,1.0,0.77,0.6,0.44,0.32,0.28,0.2,0.16,,4.2,5.4,6.35,7.6,8.8,10.65,12.81,15.28,17.55,21.54,23.98,,,,40.5,,49.3,,,,,,,,,
15,2022-12-13,256.92,40.67,36.32,31.55,28.7,24.4,22.19,19.05,15.95,13.3,10.7,8.6,6.85,5.4,3.75,2.92,2.2,1.63,1.28,0.94,0.71,0.43,0.38,0.32,0.23,0.17,,3.14,3.96,4.6,5.85,6.9,8.25,10.7,11.85,14.7,18.25,20.64,24.7,23.19,,35.7,,44.0,,,53.1,,,,,,
