,Date,Underlying,C220,C225,C230,C235,C240,C245,C250,C255,C260,C265,C270,C275,C280,C285,C290,C295,C300,C305,C310,C315,C320,C325,C330,C335,C340,C345,P220,P225,P230,P235,P240,P245,P250,P255,P260,P265,P270,P275,P280,P285,P290,P295,P300,P305,P310,P315,P320,P325,P330,P335,P340,P345
0,2022-10-24,247.25,35.25,32.2,28.4,25,22,18.85,16.25,13.63,11.63,9.47,7.86,6.3,5.15,4.1,3.25,2.54,2.0,1.55,1.21,0.96,0.75,0.6,0.49,0.36,0.33,0.21,6.9,8.1,9.65,11.15,12.95,15,17.25,19.99,22.75,26.65,28.95,33.49,36.83,40.9,45.31,49.25,54.11,,64.0,,,,,,,
1,2022-10-25,250.66,37.3,34.2,30.1,26.95,23.6,20.35,17.5,15.0,12.6,10.45,8.65,7.0,5.6,4.45,3.5,2.77,2.15,1.64,1.28,1.0,0.76,0.59,0.48,0.37,0.3,0.24,5.6,6.75,7.9,9.33,10.95,13.15,15,17.2,20.17,23.4,26.5,30.0,34.4,38.5,43.09,48.4,50.65,56.8,,,73.41,,,,,
2,2022-10-26,231.32,23.0,20.05,15.5,13,10.8,8.95,6.95,5.48,4.15,3.34,2.5,1.85,1.45,1.1,0.78,0.66,0.47,0.41,0.3,0.26,0.2,0.18,0.15,0.13,0.11,0.1,9.55,11.25,13.5,15.73,18.43,21.5,25,28.55,31.1,35.62,39.91,43.45,46.9,52.55,56.5,57.6,67.09,,76.68,,,92.25,99.8,101.6,107.25,112.4
3,2022-10-27,226.75,19.28,16.27,13.29,10.84,8.81,7.0,5.5,4.35,3.3,2.64,1.9,1.48,1.1,0.85,0.68,0.53,0.4,0.32,0.27,0.23,0.18,0.15,0.11,0.11,0.09,0.09,10.55,12.75,15.16,17.53,20.91,23.6,27.36,31.58,34.8,39.78,43.88,49.2,53.25,58.05,61.83,68.45,73.39,,82.8,,92.37,,,,,
4,2022-10-28,235.87,25.0,21.55,18.56,15.6,12.17,9.87,8.0,6.6,5.1,4.1,3.05,2.33,1.77,1.4,1.01,0.79,0.6,0.46,0.39,0.31,0.27,0.21,0.19,0.16,0.13,0.12,7.5,9.1,11.2,12.97,15.4,19,20.6,24.85,27.98,33.35,36.07,,48.14,49.8,56.52,68.74,63.92,,,,,,,,,
5,2022-10-31,232.13,22.88,19.11,15.5,13.03,10.75,8.52,6.7,5.3,4.1,3.06,2.25,1.75,1.35,1.02,0.8,0.64,0.53,0.44,0.34,0.27,0.23,0.23,0.18,0.17,,0.12,8.15,10.15,12.0,14.5,17.1,20.05,22.89,25.97,29.9,35.74,38.5,42.34,47.7,52.55,57.26,,68.02,,,,88.15,,,,108.23,
6,2022-11-01,228.17,19.15,16,13.35,10.75,8.6,6.8,5.2,4.15,3.15,2.33,1.75,1.33,0.97,0.76,0.59,0.46,0.38,0.31,0.26,0.23,0.2,0.18,0.16,0.14,0.11,0.09,9.45,11.12,13.62,16.05,18.92,22.03,25.5,28.79,34.4,38.05,43.4,47.2,52.02,57.3,61.63,,71.9,,,,,95.0,,,,
7,2022-11-02,220.1,14.18,11.5,9.3,7.3,5.6,4.48,3.2,2.4,1.82,1.36,1.04,0.79,0.58,0.5,0.38,0.3,0.26,0.21,0.19,0.17,0.15,0.12,0.1,0.1,0.1,0.08,12.21,14.92,17.38,20.4,23.3,24.69,31.76,30.54,37.2,44.0,45.1,46.26,55.4,60.5,65.25,,78.43,,,,,,,,,
8,2022-11-03,214.25,10.72,8.4,6.65,5.1,3.87,2.9,2.19,1.57,1.2,0.89,0.69,0.6,0.42,0.36,0.29,0.25,0.2,0.17,0.16,0.15,0.12,0.11,0.1,0.08,0.09,0.07,15.2,18.0,20.95,24.14,27.88,31.4,36.8,39.05,45.18,47.52,54.35,60.05,65.2,70.5,73.35,78.36,84.64,87.6,,,,,,,,
9,2022-11-04,221.39,14.47,11.8,9.25,7.3,5.75,4.3,3.45,2.4,1.85,1.32,0.97,0.75,0.62,0.46,0.37,0.32,0.26,0.18,0.16,0.15,0.13,0.11,0.1,0.08,,0.07,11.75,14.4,17.1,20.1,26.64,30.85,32,39.53,44.25,48.62,50.75,55.77,61.21,64.45,69.81,77.14,83.35,,,,,,,,,
10,2022-11-07,227.87,18.2,15.33,12.7,10.07,8.17,6.4,4.85,3.7,2.76,2.1,1.52,1.2,0.91,0.72,0.54,0.44,0.36,0.28,0.24,,0.16,0.13,0.12,0.1,0.09,0.08,9.21,11.15,13.42,16.1,22.0,22,25.85,,36.3,38.15,42.87,51.25,52.73,60.77,,69.26,73.3,,,,,,,,,
