,Date,Underlying,C300,C305,C310,C315,C320,C325,C330,C335,C340,C345,C350,C355,C360,C365,C370,C375,C380,C385,C390,C395,P300,P305,P310,P315,P320,P325,P330,P335,P340,P345,P350,P355,P360,P365,P370,P375,P380,P385,P390,P395
0,2023-04-24,281.77,7.35,5.72,4.35,3.35,2.5,1.84,1.37,1.02,0.77,,0.42,,0.24,,0.16,,,,0.06,,24.0,26.91,,,37.5,,,,,,,,,,,,,,,
1,2023-04-25,275.42,5.86,4.45,3.35,2.58,1.95,1.44,1.05,0.76,0.56,0.46,0.32,,0.17,0.13,0.11,,0.06,,0.02,,27.4,30.02,34.22,,,,53.56,,,,,,,,,,,,,
2,2023-04-26,295.37,13.3,10.7,8.75,6.92,5.2,3.8,2.91,2.18,1.58,1.18,0.8,0.58,0.44,0.29,0.24,,0.13,,0.07,,14.9,17.75,20.5,23.58,27.07,31.33,35.15,,,,,,,,,,,,,
3,2023-04-27,304.83,17.9,14.85,12.15,9.75,7.7,5.92,4.4,3.45,2.55,1.82,1.33,0.99,0.77,0.55,0.4,,0.24,,0.14,,10.45,12.45,14.65,17.3,20.5,23.8,29.6,32.65,37.8,,,,,,,,,,,
4,2023-04-28,307.26,19.2,15.91,13.15,10.6,8.27,6.4,4.6,3.45,2.52,1.83,1.31,0.99,0.66,0.45,0.31,,0.18,,0.11,,9.2,11.05,13.2,15.55,19.13,,26.6,31.45,,39.62,,,,,,,,,,
5,2023-05-01,305.56,18.1,14.9,12.25,9.65,7.5,5.65,4.25,3.2,2.26,1.64,1.16,0.83,0.59,0.41,0.32,,0.17,,0.09,,9.59,11.65,13.8,15.2,18.55,22.2,,,,37.8,43.14,,,,,,,,,
6,2023-05-02,305.41,18.55,15.3,12.6,9.95,7.89,6.2,4.57,3.45,2.51,1.77,1.32,0.9,0.79,0.5,0.36,0.27,0.17,,0.1,,10.2,12.2,14.25,16.4,19.95,23.0,25.65,,,36.95,,,,,,,,,,
7,2023-05-03,304.4,17.6,14.69,11.95,9.74,7.66,5.85,4.45,3.3,2.38,1.75,1.28,1.0,0.7,0.46,0.35,0.28,,,,,10.7,12.65,14.77,15.85,20.7,,,29.0,,,,,,,,,,,,
8,2023-05-04,305.41,18.75,15.6,12.85,10.65,8.3,6.5,5.15,3.85,3.04,2.25,1.61,1.16,0.92,0.65,0.47,,0.27,,0.14,,10.9,12.9,14.9,17.6,19.26,22.95,,30.75,34.95,40.5,,,,,,,,,,
9,2023-05-05,310.65,21.4,17.7,14.6,12.32,9.35,7.59,5.65,4.24,3.12,2.44,1.79,1.19,0.95,0.68,0.51,0.32,0.29,,0.16,,8.1,9.95,11.7,13.75,16.85,18.85,22.8,27.8,33.0,,,,48.75,,,,,,,
