,Date,Underlying,C220,C225,C230,C235,C240,C245,C250,C255,C260,C265,C270,C275,C280,C285,C290,C295,C300,C305,C310,C315,C320,C325,C330,C335,C340,C345,P220,P225,P230,P235,P240,P245,P250,P255,P260,P265,P270,P275,P280,P285,P290,P295,P300,P305,P310,P315,P320,P325,P330,P335,P340,P345
0,2023-05-04,305.41,,,,,,,,,48.78,43.98,39.0,33.54,30.34,,,18.8,15.95,12,9.9,7.55,5.48,3.95,2.2,2.23,,,,,,,0.74,0.8,0.97,1.3,1.62,1.75,,3.2,3.7,4.5,5.55,6.7,8.9,10.4,12.6,14.95,,,,,,
1,2023-05-05,310.65,,,,,,,,56.11,,,42.31,37.1,34.47,29.42,26.1,,17.36,15.03,11.42,8.89,6.4,4.64,3.3,2.21,1.41,0.99,,,0.26,0.3,0.42,0.53,0.66,0.82,0.9,1.14,1.39,1.74,2.24,2.81,3.62,4.43,5.83,7.09,9.35,11.4,13.8,17.15,,,,
2,2023-05-08,308.65,,,,,,,,55.99,50.31,,,,31.63,25.68,23.1,19.88,15.4,12.44,9.41,6.9,4.9,3.25,2.2,1.39,0.85,0.58,0.17,0.19,0.25,0.28,0.4,0.5,0.62,0.67,0.91,1.07,1.35,1.73,2.24,2.75,3.55,4.55,6.05,7.79,9.75,,15.8,20.0,,,32.4,
3,2023-05-09,307.0,,,78.27,,,,58.77,,,,,36.95,30.57,26.21,,17.95,15.22,11.56,8.65,6.2,4.37,3.17,2.08,1.25,0.86,0.56,,0.17,0.24,0.3,0.35,0.44,,0.69,0.9,1.16,1.36,1.76,2.38,3.05,3.87,5.11,6.3,8.2,10.6,,,,24.16,28.54,,
4,2023-05-10,312.31,,,,,,,61.97,,,45.78,,,35.11,30.56,24.6,22.72,18.72,14.9,11.09,8.25,5.92,4.1,2.85,1.75,1.09,0.7,0.12,,0.23,0.25,0.28,0.31,0.4,0.5,0.62,0.89,1.0,1.41,1.65,2.09,2.68,3.55,4.45,5.95,7.6,9.9,13.73,,,,,
5,2023-05-11,310.11,,,,73.58,,,60.82,,,46.7,41.88,35.3,32.17,28.1,23.9,19.72,16.3,12.5,9.59,7.05,4.98,3.45,2.16,1.41,0.9,0.57,0.11,,,0.22,0.34,0.35,0.44,,0.69,0.85,1.09,1.37,1.75,2.34,3.0,3.85,5.1,6.78,8.56,11.1,,,,,,
6,2023-05-12,308.97,,,,,,,,,,,39.47,,30.25,25.96,22.34,18.0,15.28,11.75,8.85,6.35,4.35,2.86,1.81,1.03,0.65,0.44,0.13,,0.13,0.23,0.26,,0.49,,0.74,1.0,1.1,1.53,1.97,2.48,3.24,4.15,5.73,7.1,8.95,12.4,,,,,,
7,2023-05-15,309.46,,,,75.4,,,,55.54,50.65,,41.25,36.65,30.45,,22.85,18.95,14.89,11.78,8.68,6.1,3.98,2.6,1.58,0.94,0.6,0.34,,,,,0.23,,,0.47,0.59,0.73,0.96,1.2,1.62,2.09,2.79,3.66,4.78,6.36,8.36,,,,21.75,,,
8,2023-05-16,311.74,,,83.67,,,,63.44,58.02,54.91,,44.65,39.28,34.74,29.78,25.45,21.74,17.26,14.29,10.04,7.23,4.97,3.2,2.2,1.37,0.82,0.46,,,0.13,,,0.24,,0.38,0.47,0.59,0.75,1.0,1.25,1.59,2.33,3.15,3.75,5.35,7.16,8.55,11.21,,19.35,,,
9,2023-05-17,314.0,,,85.2,,,,65.35,,,,,39.1,33.9,,25.39,21.2,17.39,15,11.15,8.15,5.5,3.65,2.23,1.35,0.73,0.44,0.06,,,,,0.22,0.23,0.3,0.39,0.47,0.64,0.78,1.02,1.33,1.76,2.23,2.97,4.05,5.65,7.57,10.1,13.95,,,,
