,Date,Underlying,C220,C225,C230,C235,C240,C245,C250,C255,C260,C265,C270,C275,C280,C285,C290,C295,C300,C305,C310,C315,C320,C325,C330,C335,C340,C345,P220,P225,P230,P235,P240,P245,P250,P255,P260,P265,P270,P275,P280,P285,P290,P295,P300,P305,P310,P315,P320,P325,P330,P335,P340,P345
0,2022-12-19,240.45,29.85,25.35,21.88,18.65,16.85,13.57,11.12,9.3,7.8,6.15,4.98,3.95,3.1,2.19,1.77,1.31,1.07,0.82,0.62,0.49,0.36,0.35,0.24,0.19,0.16,,7.4,8.5,10.58,12.05,14.2,16.4,20.0,22.9,25.85,29.54,31.15,37.88,40.6,44.75,47.75,,60.65,,69.56,,,,,,,
1,2022-12-20,241.8,29.6,26.24,23.55,20.2,17.2,14.9,12.35,10.15,8.4,6.45,5.2,4.1,3.2,2.51,2.01,1.49,1.19,0.86,0.72,0.5,,0.35,,0.2,0.16,,6.8,7.9,9.48,11.22,13.62,15.52,18.15,20.95,24.4,27.4,,35.45,39.58,,50.3,,58.6,,,,,,,,,
2,2022-12-21,244.43,31.95,28.87,,21.64,18.4,15.45,13.05,10.75,8.75,6.95,5.5,4.35,3.4,2.65,2.04,1.53,1.19,0.92,0.69,0.53,0.42,0.33,0.27,0.22,0.16,,6.1,7.14,8.75,10.2,12.3,14.35,16.75,19.25,23.2,25.42,28.6,33.1,36.9,,45.34,49.85,55.58,60.9,65.75,,74.84,,,,94.71,
3,2022-12-22,238.19,26.19,23.6,20.0,17.95,15,12.6,10.04,8.45,6.53,5.55,4.25,3.15,2.55,1.9,1.56,1.15,0.89,0.66,0.54,0.38,0.31,0.22,0.16,0.15,0.11,,7.6,9.15,11.26,12.85,15.35,18.05,21.1,24.4,29.4,32.62,35.55,41.7,43.75,49.46,,57.9,65.3,69.6,,,,89.87,,,,
4,2022-12-23,238.73,27.01,23.45,20.55,17.65,15.05,12.45,10.25,8.2,6.84,5.15,4.05,3.25,2.5,1.82,1.47,1.03,0.86,0.63,0.5,0.39,0.31,,0.2,0.14,,,7.4,8.9,10.55,12.74,14.84,17.23,20.2,23.34,26.46,33.32,35.65,,43.06,,52.5,,,,,,,,,,,
5,2022-12-27,236.96,26.9,,19.7,16.55,14.15,11.7,9.74,7.9,6.14,4.85,3.8,3,2.23,1.68,1.32,1.0,0.77,0.57,0.47,,0.26,0.21,0.17,0.13,0.09,,7.7,9.3,11.05,13.14,15.4,18.0,20.85,,27.07,31.07,35.1,38.89,43.05,47.23,52.24,57.33,62.57,68.2,,,,,,,,
6,2022-12-28,234.53,24.49,22.1,18.2,15.7,12.77,10.6,8.6,6.95,5.44,4.3,3.35,2.59,1.97,1.51,1.17,0.88,0.66,0.54,0.43,0.32,0.25,,0.15,0.12,0.11,,8.4,10.05,11.9,14.18,16.5,19.45,22.17,25.47,27.78,32.58,,40.1,,48.95,53.71,59.85,64.83,68.7,74.1,,,,94.05,,,109.6
7,2022-12-29,241.01,29.06,25.8,22.3,19.12,15.91,13.5,11.2,8.94,7.05,5.7,4.5,3.5,2.6,1.96,1.53,1.11,0.9,0.66,0.51,0.38,0.3,0.22,0.18,,0.11,,6.4,7.7,9.33,11.0,13.15,15.37,18.0,21.5,24.1,28.2,31.96,38.5,40.6,44.3,49.0,56.34,58.51,66.9,,,,,,,,
8,2022-12-30,239.82,,23.21,19.7,17.72,15.01,12.35,10.19,8.2,6.15,5.01,4,2.97,2.25,1.7,1.26,0.94,0.7,0.55,0.44,0.33,0.24,0.18,,0.1,0.08,,6.8,8.25,9.95,11.85,13.96,16.3,19.0,22.1,27.1,29.98,,,42.9,,51.8,,60.8,,,,,,,,,
9,2023-01-03,239.58,26.61,23.55,20.75,17.6,15,12.27,10.1,8.12,6.5,5.1,3.84,2.97,2.27,1.69,1.31,0.96,0.72,0.54,0.43,,0.25,0.19,0.14,0.11,,0.09,6.65,8.0,9.7,11.65,13.7,16.15,18.8,22.13,26.95,,34.17,37.64,41.53,42.84,52.01,,,,,,,,,,,
10,2023-01-04,229.1,19.95,16.9,14.06,11.49,9.35,7.4,5.75,4.4,3.4,2.45,1.86,1.39,1.01,0.68,0.55,0.4,0.27,0.2,0.15,0.12,0.08,0.06,0.05,0.05,0.03,0.02,9.5,11.25,13.75,16.15,19.6,23.3,27.0,30.75,32.9,37.06,41.57,48.15,51.67,58.55,63.25,66.1,72.1,77.6,81.15,,93.45,,101.4,,113.35,117.25
11,2023-01-05,222.31,15.05,12.55,10.15,7.9,6.38,5,3.75,2.79,2.03,1.58,1.12,0.83,0.62,0.46,0.35,0.26,0.2,0.15,0.12,0.09,0.07,0.05,0.05,0.04,,0.02,11.58,13.9,16.62,19.55,22.48,25.82,30.46,33.4,37.73,42.85,46.67,52.3,56.0,61.9,67.45,71.05,77.55,82.3,87.15,,,,105.35,,,
12,2023-01-06,224.93,16.1,13.25,10.66,8.52,6.6,5.1,3.8,2.86,2.1,1.5,1.09,0.82,0.58,0.43,0.32,0.22,0.17,0.12,,0.08,0.05,0.04,0.04,0.02,0.03,0.02,10.05,12.2,14.25,17.1,20.5,23.6,27.7,31.65,35.64,39.35,44.8,51.3,58.3,58.75,64.65,70.3,74.65,79.85,84.75,,,,104.85,,,
13,2023-01-09,227.12,17.75,14.1,11.52,9,7.12,5.45,4.05,3,2.16,1.63,1.14,0.8,0.6,0.46,0.32,0.25,0.19,0.16,0.12,0.07,0.06,0.04,0.04,0.03,0.02,0.03,8.95,10.74,13.2,15.8,18.5,22.2,25.33,29.55,32.95,37.2,41.75,47.3,50.75,,61.5,,71.75,76.85,81.35,84.2,,,,,,
14,2023-01-10,228.85,18.02,14.45,12.15,9.5,7.59,5.64,4.4,3.19,2.29,1.66,1.25,0.87,0.61,0.45,0.33,0.28,0.18,0.13,0.1,,0.07,0.05,0.04,0.04,,,8.05,10.12,12.5,15.05,17.7,21.0,24.6,28.55,33.1,35.0,42.52,46.0,51.75,,61.6,65.5,69.9,,80.1,,,,,,,
15,2023-01-11,235.77,22.52,19.34,16.05,13.31,10.83,8.58,6.66,5.12,3.87,2.85,2,1.54,1.06,0.82,0.55,0.42,0.32,0.23,0.17,0.12,0.12,0.09,,0.05,0.03,0.04,6.13,7.65,9.3,11.48,13.95,16.75,20.45,24.15,28.05,32.1,,41.83,,,,60.95,,,75.35,,,,95.61,,,111.85
16,2023-01-12,238.51,24.0,20.65,17.69,14.54,11.49,9.4,7.25,5.49,4.04,3.05,2.19,1.59,1.14,0.83,0.66,0.41,0.31,0.24,0.18,0.16,0.09,0.08,0.07,0.05,,0.04,5.18,6.63,7.9,9.75,12.5,14.8,17.53,21.45,24.25,30.25,32.8,,41.69,49.0,,59.5,62.83,,71.75,,,,89.85,,,
17,2023-01-13,239.23,24.6,20.96,17.25,14.48,11.55,9.1,6.95,5.15,3.7,2.66,1.91,1.26,0.95,0.64,0.48,0.32,0.27,,0.15,0.1,,,0.06,,0.04,,4.58,5.79,7.3,9.05,11.27,14.8,16.69,,26.55,,35.33,38.84,41.6,46.07,,56.3,,,71.5,,,,,,,
18,2023-01-17,240.35,25.35,21.6,17.71,14.9,11.9,9.36,7.22,5.4,3.84,2.79,1.94,1.33,0.99,0.68,0.48,0.33,0.25,0.19,0.13,,0.07,0.05,0.06,0.04,,0.01,4.23,5.4,6.88,8.47,10.6,13.05,15.9,19.5,23.59,,,,41.85,,,57.0,,,70.7,,,,,,,
19,2023-01-18,235.81,22.62,18.35,15.37,12.05,9.45,7.25,5.4,4.09,2.97,2,1.4,0.96,0.68,0.47,0.37,0.22,0.17,0.11,0.15,0.08,0.05,0.04,0.03,,,0.02,5.28,6.7,8.45,10.5,12.8,15.05,17.85,21.67,26.01,30.25,32.7,,43.25,,,56.95,63.65,68.25,73.6,,,,92.3,,,106.7
20,2023-01-19,231.93,20.15,15.4,12.65,10.05,7.68,5.9,4.3,3.09,2.18,1.45,1.03,0.71,0.52,0.36,0.24,0.19,0.12,,0.09,,0.05,0.03,0.02,0.02,,,5.8,8.0,10.0,12.3,14.8,16.94,20.0,24.95,27.62,33.93,39.1,43.63,,,,62.45,66.55,70.71,77.75,,,,,,,110.85
21,2023-01-20,240.22,25.0,20.99,17.29,14.5,11.2,8.7,6.5,4.75,3.45,2.41,1.61,1.1,0.78,0.53,0.37,0.26,0.19,0.12,0.1,0.07,0.05,0.05,,0.03,0.02,0.02,3.99,5.15,6.5,8.25,10.33,12.7,15.6,18.71,23.95,26.92,36.45,36.27,42.35,,,,60.15,,,,,,,,,
