,Date,Underlying,C220,C225,C230,C235,C240,C245,C250,C255,C260,C265,C270,C275,C280,C285,C290,C295,C300,C305,C310,C315,C320,C325,C330,C335,C340,C345,P220,P225,P230,P235,P240,P245,P250,P255,P260,P265,P270,P275,P280,P285,P290,P295,P300,P305,P310,P315,P320,P325,P330,P335,P340,P345
0,2023-02-21,252.67,39.38,,34.95,,24.1,20.66,17.75,15.15,12.65,10.4,8.5,6.75,5.51,4.27,3.39,2.58,2.03,1.61,1.27,1.05,0.81,0.68,0.57,0.44,0.36,0.29,4.35,5.15,6.2,7.65,9.0,10.71,12.8,15.0,17.45,20.19,23.44,26.5,30.36,34.57,38.76,43.47,48.4,,,,,,,,,
1,2023-02-22,251.51,,,,,22.97,19.69,16.75,14.0,11.55,9.45,7.75,6.15,4.95,3.8,3.01,2.37,1.81,1.44,1.21,0.9,0.74,0.56,0.48,0.39,0.32,0.28,4.4,5.35,6.5,7.6,9.25,11.03,13.4,15.28,17.9,20.79,24.38,26.2,30.0,34.12,,,,,,,,,,,,
2,2023-02-23,254.77,38.0,37.53,31.5,26.6,22.4,21.95,18.65,15.62,13.2,10.72,8.77,6.9,5.63,4.35,3.4,2.66,2.06,1.62,1.24,1,0.77,0.61,0.45,0.39,0.39,,3.82,4.6,5.4,6.53,7.9,9.45,11.3,13.15,15.6,18.2,21.25,26.45,30.5,,,,,,,,,,,,,
3,2023-02-24,249.22,36.13,31.87,28.3,24.03,21.0,18.09,15.24,12.72,10.36,8.4,6.55,5.25,4,3.03,2.5,1.85,1.42,1.12,0.87,0.7,0.56,0.44,0.36,0.3,0.27,0.21,4.5,5.53,6.65,8.05,9.65,11.7,13.65,16.1,19.0,22.25,24.75,29.0,,,42.1,,51.6,,,,,,,,,
4,2023-02-27,250.16,,34.06,29.0,,21.48,18.03,15.4,12.6,10.3,8.17,6.69,5.12,4.1,3.06,2.42,1.81,1.43,1.1,0.86,0.65,0.52,0.41,0.35,,,0.18,4.2,5.15,6.2,7.55,9.15,11.0,13.0,15.41,18.05,21.15,24.6,26.75,31.99,,40.48,,49.98,,,,,,,,,
5,2023-02-28,249.42,,32.85,28.89,,21.3,17.65,15.1,12.35,10.05,7.85,6.1,4.85,3.85,2.98,2.28,1.64,1.33,0.95,0.77,0.62,0.46,0.4,0.3,0.23,,0.16,3.99,4.9,6.0,7.45,8.8,10.7,13.0,15.0,18.2,21.0,24.79,28.15,30.99,,40.55,,50.05,,,,,,,,,
6,2023-03-01,246.27,,,25.0,22.7,18.25,15.58,12.95,10.3,8.45,6.6,5.15,4.03,3.04,2.3,1.72,1.36,1,0.76,0.62,0.45,0.39,0.3,0.28,0.2,0.16,0.14,4.4,5.5,6.8,8.3,10.1,12.1,14.3,16.75,19.87,22.96,25.95,28.95,,,43.4,,51.89,,,,,,,,,
7,2023-03-02,251.11,,32.53,,22.59,19.55,18.0,14.85,12.4,10.1,7.89,6.36,4.95,3.73,2.9,2.21,1.34,1.25,0.98,0.75,0.59,0.4,0.37,,0.24,,,3.55,4.6,5.55,6.7,8.25,10.05,11.96,14.29,17.0,22.4,23.0,28.8,35.09,,42.93,,52.63,,,,,,,,,
8,2023-03-03,255.29,39.25,34.68,31.85,26.75,23.9,20.45,17.56,14.5,11.75,9.5,7.6,5.9,4.57,3.5,2.7,1.92,1.47,1.12,0.88,0.67,0.5,0.39,0.32,,0.2,,2.88,3.59,4.43,5.55,6.75,8.16,9.95,12.0,14.4,17.3,20.35,23.68,28.5,,,,,,,,,,,,,
9,2023-03-06,256.87,42.65,,34.55,30.41,26.0,22.59,18.19,15.4,12.81,10.1,8,6.25,4.82,3.85,2.9,2.18,1.64,1.23,0.92,0.73,0.58,0.48,0.37,0.29,0.23,0.18,2.51,3.09,3.92,4.84,6.07,7.58,9.18,11.2,13.41,15.95,18.8,22.2,23.65,28.0,,,44.7,,,,,,,,,
