,Date,Underlying,C300,C305,C310,C315,C320,C325,C330,C335,C340,C345,C350,C355,C360,C365,C370,C375,C380,C385,C390,C395,P300,P305,P310,P315,P320,P325,P330,P335,P340,P345,P350,P355,P360,P365,P370,P375,P380,P385,P390,P395
0,2023-07-24,345.11,51.45,47.21,44.16,39.3,36.1,32,28.35,25.45,22.8,20.1,17.2,14.95,13.3,11.35,9.55,8.3,7.0,6.25,5.2,4.57,3.63,4.15,5.15,6.22,7.41,8.7,10.38,11.8,14.25,16.49,19.1,21.85,25.0,28.62,31.15,35.45,40.0,,47.92,51.85
1,2023-07-25,350.98,57,52.44,48.78,44.72,41,36.76,32.91,29.7,26.9,23.91,21.1,18.55,16.31,14.1,12.0,10.71,9.3,8.0,6.67,5.9,3.08,3.6,4.4,5.17,6.05,7.35,8.71,10.2,12.12,13.98,16.21,18.95,21.45,24.41,28.25,31.2,37.45,,,50.06
2,2023-07-26,337.77,44.56,38.95,36.57,29.91,28.35,25.24,22.15,19.2,16.56,14.03,12.0,9.68,8.47,7.05,5.85,4.95,3.99,3.5,2.92,2.54,3.5,4.45,5.17,6.25,7.76,9.0,10.75,12.79,15.5,18.56,21.0,24.24,27.72,31.22,32.7,38.95,46.45,,,
3,2023-07-27,330.72,40,34.05,30.42,27.76,23.8,20.55,18.18,15.25,13.3,11.0,9.0,7.44,6.5,5.25,4.5,3.59,3.18,2.53,2.22,1.92,4.85,5.77,6.88,8.35,9.88,11.91,13.92,16.35,19.21,22.67,26.2,29.54,28.95,36.2,,,,,56.38,
4,2023-07-28,338.37,45.5,40.22,37.57,33.31,29.5,25.7,22.33,19.15,16.4,13.87,11.75,9.9,8.25,6.85,5.65,4.8,4.05,3.35,2.73,2.35,3.6,4.15,5.05,6.15,7.45,8.95,10.52,12.72,14.6,17.42,19.95,23.19,26.3,30.2,,,,,,
5,2023-07-31,335.92,42.95,37.8,34.25,30.04,26.65,22.8,19.95,17.15,14.5,12.35,10.25,8.22,7.3,5.75,5.0,4.1,3.3,2.74,2.27,1.93,3.85,4.44,5.57,6.8,7.76,9.55,11.6,13.6,16.5,18.6,21.85,25.95,29.54,33.6,,,46.6,,,
6,2023-08-01,336.34,44.15,,34.25,31.7,28.3,24.63,20.65,17.85,15.15,13.19,10.75,9.5,7.75,6.1,5.25,4.23,3.56,2.89,2.6,2.06,3.38,4.13,5.16,6.05,7.58,8.95,10.9,12.7,14.95,17.68,21.05,,27.64,,,,,,,
7,2023-08-02,327.5,35.7,32.33,28.8,25.35,21.2,18.95,16.25,13.73,11.53,9.65,7.91,6.65,5.5,4.6,3.8,3.12,2.58,2.12,1.81,1.51,5.27,6.3,7.55,9.2,10.85,12.8,15.15,18.05,20.75,24.09,27.0,30.7,34.98,39.14,,,,,,
8,2023-08-03,326.66,35.83,32.46,28.32,24.57,21.32,18.45,15.62,12.98,10.9,9.35,7.65,6.45,5.32,4.35,3.6,3.05,2.52,2.1,1.77,1.56,5.45,6.2,7.75,9.28,10.59,13.14,15.25,17.4,20.94,23.97,26.41,,35.7,,42.3,,,,62.6,
9,2023-08-04,327.78,37.39,,28.5,26.3,21.7,18.44,15.95,13.4,11.32,9.39,7.77,6.45,5.4,4.35,3.57,2.97,2.43,2.01,1.75,1.45,5.25,6.4,7.6,9.1,10.9,12.8,15.15,17.74,20.61,19.5,26.66,,31.2,38.27,43.23,,,,,
