,Date,Underlying,C300,C305,C310,C315,C320,C325,C330,C335,C340,C345,C350,C355,C360,C365,C370,C375,C380,C385,C390,C395,P300,P305,P310,P315,P320,P325,P330,P335,P340,P345,P350,P355,P360,P365,P370,P375,P380,P385,P390,P395
0,2023-06-20,338.05,45.35,41.62,38.2,32.2,29.42,26.18,23.1,19.75,17.0,14.35,12.27,10.47,8.7,7.25,6.0,4.8,4.15,3.3,2.65,2.18,4.05,4.8,5.55,6.8,8.05,9.35,10.91,13.05,15.45,17.8,20.71,24.95,28.03,,34.22,38.97,,,,56.2
1,2023-06-21,333.56,41.4,37.38,34.3,30.23,27,22.8,20,17.1,14.4,12.1,10.1,9.0,6.99,5.6,4.6,3.83,3.1,2.63,2.25,2.06,4.55,5.5,6.26,7.5,9.22,11.05,12.92,14.95,17.45,19.95,23.72,,,,,41.75,,,,
2,2023-06-22,339.71,45.85,39.43,37.7,33.35,29.5,27,23.65,20.2,17.52,14.82,12.5,10.59,8.55,7.3,5.88,4.9,3.9,3.19,2.67,2.09,3.7,4.4,5.2,6.3,7.4,9.15,10.47,12.45,14.57,17.05,19.65,22.65,27.67,,35.06,,,,,
3,2023-06-23,335.02,43.28,39.5,35.5,32.2,27.69,25.06,20.55,17.52,14.9,12.7,10.5,8.75,7.1,5.9,4.7,4.05,3.2,2.63,2.16,,4.16,4.9,6.22,7.45,8.8,10.11,11.72,13.77,16.85,19,22.25,25.23,,,,,,,,
4,2023-06-26,328.6,37.6,33.6,29.96,27,22.25,19.8,16.45,13.95,11.6,9.65,7.95,6.8,5.45,4.45,3.55,2.85,2.33,1.89,1.54,1.39,5.25,6.2,7.53,8.93,10.4,12.15,14.75,17.2,20,22.15,26.05,27.94,33.3,36.55,40.7,,50.5,55.16,,
5,2023-06-27,334.57,42.8,38.24,34.45,30.4,26.85,22.8,19.66,16.82,14.2,11.8,10.25,8.2,6.65,5.35,4.3,3.5,2.8,2.23,1.8,1.47,4.09,5.1,5.9,6.92,8.45,10.18,12.1,13.65,16.34,18.65,24.25,,,,,43.87,,,,
6,2023-06-28,335.85,43.14,37.95,35.25,29.63,28,22.9,19.7,16.95,14.5,11.75,10.0,7.93,6.5,5.32,4.3,3.45,2.8,2.33,1.92,1.45,4.17,4.6,5.97,7.3,8.55,10.05,11.78,13.88,16.11,19.6,22.45,23.95,,32.95,,,,,,
7,2023-06-29,335.05,41.7,37.52,33.1,29.01,25.13,22.3,19.05,16.77,13.9,11.82,9.55,7.95,6.55,5.15,4.15,3.4,2.67,2.14,1.7,1.37,4.0,5.1,5.97,7.1,8.63,9.95,12.11,13.8,16.8,19.65,22.5,26.05,,,,41.67,,51.13,56.06,
8,2023-06-30,340.54,47,42.5,38.3,34.6,30.07,26.73,23.55,20.2,17.0,14.38,12.01,9.9,8.32,6.87,5.35,4.25,3.6,2.83,2.22,1.93,3.2,3.7,4.56,5.55,6.7,7.95,9.42,11.32,13.26,15.76,18.55,21.68,25.0,,32.05,36.3,,,49.88,
9,2023-07-03,337.99,43,39.68,35.25,31,28,23.69,20.95,18.14,15.3,12.66,10.61,8.65,6.89,5.5,4.3,3.45,2.79,2.64,1.75,1.42,3.3,3.95,4.98,6.0,7.05,8.44,10.33,12.14,14.35,17.4,19.6,23.25,27.15,,,,,,,
